LENS	TYPE	DESIGN	QTY
10-24/3.5-4.5 G IF-ED	AF-S	zoom	20620
10.5/2.8 G ED Fisheye	AF	prime	89629
10.5cm/4 T NKJ	F	prime	5905
10/5.6 Fisheye 180°-OP NKJ	F	prime	542
10/5.6 Fisheye 180°-OP Nikon	F	prime	158
100-300/5.6 Zoom	Ai-S	zoom	58200
100/2.8 Series E	E	prime	109424
100/2.8 Series E New	E	prime	81033
1000/11 Reflex	Ai	prime	12525
1000/11 Reflex	K	prime	640
1000/11 Reflex NKJ	F	prime	1169
1000/11 Reflex Nikon	F	prime	886
1000/11 Reflex.C	C	prime	1067
1000/6.3 Reflex NKJ	F	prime	56
105/1.8	Ai-S	prime	43829
105/2.5	Ai	prime	157333
105/2.5	Ai-S	prime	163738
105/2.5	K	prime	56670
105/2.5 P Auto NKJ	F	prime	131567
105/2.5 P Auto Nikon	F	prime	66534
105/2.5 P.C Auto	C	prime	71564
105/2.8 Micro	Ai-S	prime	2642
105/2.8 D Micro	AF	prime	209259
105/2.8 G Micro IF-ED VR [N]	AF-S	prime	201327
105/2.8 Micro	AF	prime	135102
105/2.8 Micro	Ai-S	prime	86622
105/2 D DC	AF	prime	19090
105/4.5 UV	Ai-S	prime	3150
105/4.5 UV-Micro	Ai-S	prime	1
105/4 Micro	Ai	prime	43416
105/4 Micro	Ai-S	prime	24544
105/4 Micro	K	prime	12945
105/4 P NKJ	F	prime	3515
105/4 P Nikon	F	prime	3401
12-24/4 G IF-ED	AF-S	zoom	125136
120/4 Medical IF	Ai*	prime	22840
1200-1700/5.6-8 P IF-ED	Ai-P	zoom	15
1200/11 P NKJ	F	prime	163
1200/11 P Nikon	F	prime	148
1200/11 P.C Auto	C	prime	188
1200/11 Nikkor*ED	K	prime	80
1200/11 Nikkor*ED IF	Ai	prime	128
1200/11 Nikkor*ED IF	Ai-S	prime	366
1200/11 P NKJ	F	prime	56
13/5.6	Ai	prime	15
13/5.6	Ai-S	prime	302
13/5.6	K	prime	36
135/2	Ai	prime	7527
135/2	Ai-S	prime	32183
135/2	K	prime	4576
135/2.8	Ai	prime	146834
135/2.8	Ai-S	prime	75102
135/2.8	K	prime	33210
135/2.8 Q Auto NKJ	F	prime	15111
135/2.8 New	K	prime	26716
135/2.8 Q Auto NKJ	F	prime	8822
135/2.8 Q Auto Nikon	F	prime	177919
135/2.8 Q.C Auto	C	prime	41067
135/2.8 Series E	E	prime	77015
135/2 D DC	AF	prime	13900
135/2 DC	AF	prime	13258
135/3.5	Ai	prime	103059
135/3.5	Ai-S	prime	19973
135/3.5	K	prime	23710
135/3.5 Q Auto NKJ	F	prime	94979
135/3.5 Q Auto NKJ New	F	prime	38980
135/3.5 Q Auto Nikon	F	prime	71870
135/3.5 Q.C Auto	C	prime	30390
135/4 Q NKJ	F	prime	3370
14-24/2.8 G IF-ED [N]	AF-S	zoom	96434
14/2.8 D ED	AF	prime	18717
15/3.5	Ai	prime	1876
15/3.5	Ai-S	prime	8612
15/5.6	Ai	prime	687
15/5.6	K,Ai	prime	565
15/5.6 QD Auto	F	prime	2
15/5.6 QD.C Auto	C	prime	2387
16-35/4 G IF-ED VR [N]	AF-S	zoom	10008
